connector,metadata_schema_version,namespace,provider_ref,default_title,title_hash,consistency_state,is_generic,observed_row_count,term_fingerprint,prior_state,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1164,white bread,de4d60dd03a5b95a181caa807670e8e85a6683ad854ae6aabed18c8e61f3d8f5,consistent,0,2,2f590e7def26f207a2e5c54169283779808b1b6956759e95fb3fbbc5122435c0,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1167,allspice berry,cde3f678d75992463ff7728b07764ee503cbc8da7404b54fda91bc7da463b008,consistent,0,3,c7193cb29063e79a826e01fa140f48cd9879e58f86d335474c5eaa590d2ef893,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-117,"mango, ripe",548d6dfac639f1ecc23844f53513db3f602436e2629ce2a18aa0fecd649d78e6,consistent,0,1,a55eda99430db2df695ee6ddce7598b9fc9c146d1595cfd71e5d872efc215b72,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1175,sweet potato,11a3360656adc278501a3547697d38c60bf4fa2e948a858584756e4fb59780ee,consistent,0,5,ccfddbbb2b9537cc5a28b7d97bd8462a167f3b2649952a365116c4bf9295b4f0,D1,D1,sweet-potato,[],operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-119,"tarragon, fresh",4a64fbee5d6699a55fcc09da5530699ebd21003a53803a2a56fca810dcec3ef0,consistent,0,1,442ce3b5f82cf38240be49c73d02b63b4c26b2177a4d4179da3249239d8ca1b4,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-12,chicken broth,e554317f9975a83c2f4243e5c0f6ed7f7be24565065921c903d9578ca8b64b65,consistent,0,4,175e2f5f14ec3f7b60e0ce86eeac1af8a517073399b9c9b5c8bc2acce1cf6e05,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1224,"mint, fresh",cb5fb00f5743e12a7626191e9f92d74a7229cbf104721c7019b1c5835e14ac93,consistent,0,5,c57aa8e93b0121377ee33c5e7385b2e1af415bfe7e7e69af40037cbad811d2bd,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-123,"pine nut, raw",7a168988646df11b7c04e85a9b74dd649ef0e12d135ae024345bd7bf1c2bbf5d,consistent,0,3,f84f1c0f45d6876e32602d7668d8715a75c0277aaf73b1f582a329f2f9827473,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1230,"tuna, canned, in oil",de658d7f44bb296ed773eff1133b44ceff8edef981b960a75ffa381c0f865861,consistent,0,2,466bd98e1fb20ab3423e1cf52d0d3785df13c9352eac328b14fcc3b371390744,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1241,garden cress,cdb76529e00fb7caed5df3c4a2e11e68526664425cfdb53859301cf9ef32ff39,consistent,0,1,43d07b8f0beb8a4ad7ec4957ed5df57ad3e2a83feb7719fbbe069d2b668d49f9,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-125,saffron thread,1f0076a061c8de12abac6144077cbec767f6df641abaf2a4e9d2a2a16506a692,consistent,0,2,e53934688d6670e45dc80f7f7b6bd5a1f59dd1eca17e88567f614e4c38909b43,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-127,"cinnamon, ground",710ce08aa2dd4a9663326ac624e1d621c912fd234194ff71dd4b2f586fd9f9d6,consistent,0,16,61bcc90fdc25e792e87b16f41e9cf5de896713833dd5301b538187f82abeeeab,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
